Sample,Family,Genus,Species,Species_name,Abundance
12,Glomeraceae,Glomus,VTX00312,VTX00312,0
12,Glomeraceae,Glomus,VTX00319,VTX00319,0
12,Glomeraceae,Glomus,VTX00322,VTX00322,4
12,Glomeraceae,Glomus,VTX00323,VTX00323,35
12,Acaulosporaceae,Acaulospora,VTX00328,VTX00328,0
12,Glomeraceae,Glomus,VTX00331,VTX00331,254
12,Glomeraceae,Glomus,VTX00332,VTX00332,0
12,Paraglomeraceae,Paraglomus,VTX00335,VTX00335,1
12,Paraglomeraceae,Paraglomus,VTX00337,VTX00337,0
12,Claroideoglomeraceae,Claroideoglomus,VTX00341,VTX00341,0
12,Glomeraceae,Glomus,VTX00342,VTX00342,0
12,Glomeraceae,Glomus,VTX00343,VTX00343,45
12,Paraglomeraceae,Paraglomus,VTX00348,VTX00348,824
12,Paraglomeraceae,Paraglomus,VTX00350,VTX00350,122
12,Paraglomeraceae,Paraglomus,VTX00352,VTX00352,97
12,Diversisporaceae,Diversispora,VTX00356,VTX00356,0
12,Claroideoglomeraceae,Claroideoglomus,VTX00358,VTX00358,0
12,Glomeraceae,Glomus,VTX00359,VTX00359,0
12,Glomeraceae,Glomus,VTX00360,VTX00360,0
12,Glomeraceae,Glomus,VTX00361,VTX00361,0
12,Glomeraceae,Glomus,VTX00364,VTX00364,1
12,Glomeraceae,Glomus,VTX00366,VTX00366,0
12,Glomeraceae,Glomus,VTX00371,VTX00371,0
12,Glomeraceae,Glomus,VTX00372,VTX00372,6
12,Paraglomeraceae,Paraglomus,VTX00375,VTX00375,0
12,Acaulosporaceae,Acaulospora,VTX00379,VTX00379,0
12,Glomeraceae,Glomus,VTX00381,VTX00381,0
12,Glomeraceae,Glomus,VTX00383,VTX00383,0
12,Glomeraceae,Glomus,VTX00384,VTX00384,0
12,Glomeraceae,Glomus,VTX00388,VTX00388,0
12,Glomeraceae,Glomus,VTX00395,VTX00395,0
12,Glomeraceae,Glomus,VTX00397,VTX00397,33
12,Glomeraceae,Glomus,VTX00398,VTX00398,0
