"species","average","overall","sd","ratio","ava","avb","ord","cusum","p","phylum","comparison","mean_amf","mean_control","direction","signed_average"
"Atribacterota",1.45089239674831e-05,0.31857351363518,1.3176673827e-05,1.10110671008287,3.66276457423539e-05,1.11059579175319e-05,16,0.703309173471041,0.003,"Atribacterota","Cuba8_Control",3.66276457423539e-05,1.11059579175319e-05,"AMF",1.45089239674831e-05
"Bacillota",0.0190789545536465,0.31857351363518,0.0192252305947316,0.992391454533439,0.0229061018017686,0.055443859472421,38,0.775125560427484,0.255,"Bacillota","Cuba8_Control",0.0229061018017686,0.055443859472421,"Control",-0.0190789545536465
"Bacteroidota",0.0387257187482757,0.31857351363518,0.0541255455066871,0.715479509458085,0.0595858510358915,0.119604292995662,7,0.835014263464784,0.115,"Bacteroidota","Cuba8_Control",0.0595858510358915,0.119604292995662,"Control",-0.0387257187482757
"Balneolota",5.62005723630401e-05,0.31857351363518,5.32241818083968e-05,1.05592177189981,0.000131908741947587,0.000168265206616029,33,0.885017540935173,0.193,"Balneolota","Cuba8_Control",0.000131908741947587,0.000168265206616029,"Control",-5.62005723630401e-05
"Bdellovibrionota",0.000493609465357474,0.31857351363518,0.000483897219622581,1.02007088559523,0.00139285478887712,0.000447079674327389,27,0.914781901452909,0.601,"Bdellovibrionota","Cuba8_Control",0.00139285478887712,0.000447079674327389,"AMF",0.000493609465357474
"Caldisericota",1.7467358446348e-06,0.31857351363518,3.45389603281402e-06,0.505729132562126,3.38090831925019e-06,3.90820889617712e-07,51,0.939308207204795,0.414,"Caldisericota","Cuba8_Control",3.38090831925019e-06,3.90820889617712e-07,"AMF",1.7467358446348e-06
"Calditrichota",2.17358236284087e-05,0.31857351363518,1.58610219635433e-05,1.3703923794046,5.79008851981113e-05,2.10468881743697e-05,46,0.953362158444126,0.006,"Calditrichota","Cuba8_Control",5.79008851981113e-05,2.10468881743697e-05,"AMF",2.17358236284087e-05
"Campylobacterota",3.07582749478828e-05,0.31857351363518,3.34873337660493e-05,0.918504744592916,0.000116546645193074,0.000149090187259768,35,0.964467191284151,0.819,"Campylobacterota","Cuba8_Control",0.000116546645193074,0.000149090187259768,"Control",-3.07582749478828e-05
"Chlamydiota",0.000104905112814854,0.31857351363518,8.76045618494274e-05,1.19748458984547,0.000359278383629122,0.000263007985940253,37,0.975099272625346,0.685,"Chlamydiota","Cuba8_Control",0.000359278383629122,0.000263007985940253,"AMF",0.000104905112814854
"Chlorobiota",0.00013128835965461,0.31857351363518,0.000132373353859159,0.991803530144718,0.000229425097557064,0.000340064240972581,5,0.980518728461459,0.781,"Chlorobiota","Cuba8_Control",0.000229425097557064,0.000340064240972581,"Control",-0.00013128835965461
