"species","average","overall","sd","ratio","ava","avb","ord","cusum","p","phylum","comparison"
"Negarnaviricota",0.00897838114140843,0.132513933063252,0.010386648442197,0.864415618895189,0.0210179121306698,0.023621692792898,1,0.995135543741085,0.658,"Negarnaviricota","Cuba8_Control"
"Nucleocytoviricota",0.00389760717391209,0.132513933063252,0.0042301415372754,0.921389305669073,0.00724146462367681,0.0108593327150908,3,0.997315641049986,0.591,"Nucleocytoviricota","Cuba8_Control"
"Peploviricota",0,0.132513933063252,0,NA,0,0,11,0.999158034998593,NA,"Peploviricota","Cuba8_Control"
"Phixviricota",0.000244142868381854,0.132513933063252,0.000577729066289507,0.42259059242055,6.48731036625687e-05,0.000486537942840817,5,0.999683419685651,0.408,"Phixviricota","Cuba8_Control"
"Pisuviricota",0.0455001500066239,0.132513933063252,0.0702313382665869,0.647861070707675,0.102718605650364,0.080591396545998,13,0.999893229332684,0.511,"Pisuviricota","Cuba8_Control"
"Preplasmiviricota",2.78027015228741e-05,0.132513933063252,7.29009022387366e-05,0.381376645131572,5.03446398419743e-05,6.79635158921594e-06,2,1,0.28,"Preplasmiviricota","Cuba8_Control"
"Uroviricota",0.0109886043897413,0.132513933063252,0.0111155325794412,0.988581006911481,0.0238614427594234,0.0371497797759731,10,1,0.688,"Uroviricota","Cuba8_Control"
"Artverviricota",0.000820381751773056,0.121007322313196,0.000760603199967129,1.07859361071385,0.00162307836351796,0.00134020843483188,7,0.342970045171302,0.601,"Artverviricota","DAOM197198_Control"
"Cossaviricota",0,0.121007322313196,0,NA,0,0,12,0.597360656540981,NA,"Cossaviricota","DAOM197198_Control"
"Cressdnaviricota",0.000207836066604882,0.121007322313196,0.000469895048497094,0.442303163801411,9.65976992499417e-05,0.000381013896448765,14,0.747787659109737,0.942,"Cressdnaviricota","DAOM197198_Control"
"Duplornaviricota",0.00222297567719072,0.121007322313196,0.00214213838276308,1.03773672843833,0.00379074391080926,0.005860578996132,8,0.855501430921419,0.646,"Duplornaviricota","DAOM197198_Control"
