"Sample","AMF","Fert","Till","Family","Genus","Species","Metabarcoding","RNA_taxonomy","detected_metabar","detected_rna","detection_class"
"128","Control","High","Till","Glomeraceae","Glomus","VTX00099",0,0,FALSE,FALSE,"Neither"
"128","Control","High","Till","Glomeraceae","Glomus","VTX00100",0,0,FALSE,FALSE,"Neither"
"128","Control","High","Till","Glomeraceae","Glomus","VTX00101",0,0,FALSE,FALSE,"Neither"
"128","Control","High","Till","Glomeraceae","Glomus","VTX00104",0.000458400183360073,0,TRUE,FALSE,"Metabarcoding_only"
"128","Control","High","Till","Glomeraceae","Glomus","VTX00108",0,0,FALSE,FALSE,"Neither"
"128","Control","High","Till","Glomeraceae","Glomus","VTX00109",0.00573000229200092,0,TRUE,FALSE,"Metabarcoding_only"
"128","Control","High","Till","Glomeraceae","Glomus","VTX00111",0,0,FALSE,FALSE,"Neither"
"128","Control","High","Till","Glomeraceae","Glomus","VTX00112",0,0,FALSE,FALSE,"Neither"
"128","Control","High","Till","Glomeraceae","Glomus","VTX00113",0.000229200091680037,0,TRUE,FALSE,"Metabarcoding_only"
"128","Control","High","Till","Glomeraceae","Glomus","VTX00114",0.0456108182443273,0,TRUE,FALSE,"Metabarcoding_only"
"128","Control","High","Till","Glomeraceae","Glomus","VTX00121",0,0,FALSE,FALSE,"Neither"
"128","Control","High","Till","Glomeraceae","Glomus","VTX00122",0,0,FALSE,FALSE,"Neither"
"128","Control","High","Till","Glomeraceae","Glomus","VTX00124",0,0,FALSE,FALSE,"Neither"
"128","Control","High","Till","Glomeraceae","Glomus","VTX00130",0.0903048361219344,0,TRUE,FALSE,"Metabarcoding_only"
"128","Control","High","Till","Glomeraceae","Glomus","VTX00132",0.000229200091680037,0,TRUE,FALSE,"Metabarcoding_only"
"128","Control","High","Till","Glomeraceae","Glomus","VTX00135",0,0,FALSE,FALSE,"Neither"
"128","Control","High","Till","Glomeraceae","Glomus","VTX00137",0,0,FALSE,FALSE,"Neither"
"128","Control","High","Till","Glomeraceae","Glomus","VTX00143",0,0,FALSE,FALSE,"Neither"
"128","Control","High","Till","Glomeraceae","Glomus","VTX00146",0,0,FALSE,FALSE,"Neither"
"128","Control","High","Till","Glomeraceae","Glomus","VTX00149",0,0,FALSE,FALSE,"Neither"
"128","Control","High","Till","Glomeraceae","Glomus","VTX00151",0.0025212010084804,0,TRUE,FALSE,"Metabarcoding_only"
"128","Control","High","Till","Glomeraceae","Glomus","VTX00154",0,0,FALSE,FALSE,"Neither"
"128","Control","High","Till","Glomeraceae","Glomus","VTX00155",0,0,FALSE,FALSE,"Neither"
"128","Control","High","Till","Glomeraceae","Glomus","VTX00156",0.0325464130185652,0,TRUE,FALSE,"Metabarcoding_only"
"128","Control","High","Till","Glomeraceae","Glomus","VTX00167",0.000229200091680037,0,TRUE,FALSE,"Metabarcoding_only"
"128","Control","High","Till","Glomeraceae","Glomus","VTX00174",0,0,FALSE,FALSE,"Neither"
"128","Control","High","Till","Glomeraceae","Glomus","VTX00175",0,0,FALSE,FALSE,"Neither"
"128","Control","High","Till","Glomeraceae","Glomus","VTX00177",0,0,FALSE,FALSE,"Neither"
"128","Control","High","Till","Glomeraceae","Glomus","VTX00178",0,0,FALSE,FALSE,"Neither"
"128","Control","High","Till","Glomeraceae","Glomus","VTX00183",0,0,FALSE,FALSE,"Neither"
"128","Control","High","Till","Glomeraceae","Glomus","VTX00191",0,0,FALSE,FALSE,"Neither"
"128","Control","High","Till","Glomeraceae","Glomus","VTX00194",0.00068760027504011,0,TRUE,FALSE,"Metabarcoding_only"
"128","Control","High","Till","Glomeraceae","Glomus","VTX00197",0,0,FALSE,FALSE,"Neither"
"128","Control","High","Till","Glomeraceae","Glomus","VTX00206",0,0,FALSE,FALSE,"Neither"
"128","Control","High","Till","Glomeraceae","Glomus","VTX00209",0.000229200091680037,0,TRUE,FALSE,"Metabarcoding_only"
"128","Control","High","Till","Glomeraceae","Glomus","VTX00212",0,0,FALSE,FALSE,"Neither"
"128","Control","High","Till","Glomeraceae","Glomus","VTX00213",0.0197112078844832,0,TRUE,FALSE,"Metabarcoding_only"
"128","Control","High","Till","Glomeraceae","Glomus","VTX00214",0.00916800366720147,0,TRUE,FALSE,"Metabarcoding_only"
"128","Control","High","Till","Glomeraceae","Glomus","VTX00216",0,0,FALSE,FALSE,"Neither"
"128","Control","High","Till","Glomeraceae","Glomus","VTX00222",0,0,FALSE,FALSE,"Neither"
"128","Control","High","Till","Glomeraceae","Glomus","VTX00233",0.00160440064176026,0,TRUE,FALSE,"Metabarcoding_only"
"128","Control","High","Till","Glomeraceae","Glomus","VTX00234",0,0,FALSE,FALSE,"Neither"
"128","Control","High","Till","Glomeraceae","Glomus","VTX00235",0,0,FALSE,FALSE,"Neither"
"128","Control","High","Till","Glomeraceae","Glomus","VTX00247",0,0,FALSE,FALSE,"Neither"
"128","Control","High","Till","Glomeraceae","Glomus","VTX00248",0,0,FALSE,FALSE,"Neither"
"128","Control","High","Till","Glomeraceae","Glomus","VTX00287",0.000229200091680037,0,TRUE,FALSE,"Metabarcoding_only"
"128","Control","High","Till","Glomeraceae","Glomus","VTX00294",0,0,FALSE,FALSE,"Neither"
"128","Control","High","Till","Glomeraceae","Glomus","VTX00301",0,0,FALSE,FALSE,"Neither"
"128","Control","High","Till","Glomeraceae","Glomus","VTX00304",0.000229200091680037,0,TRUE,FALSE,"Metabarcoding_only"
"128","Control","High","Till","Glomeraceae","Glomus","VTX00310",0,0,FALSE,FALSE,"Neither"
"128","Control","High","Till","Glomeraceae","Glomus","VTX00312",0,0,FALSE,FALSE,"Neither"
"128","Control","High","Till","Glomeraceae","Glomus","VTX00319",0,0,FALSE,FALSE,"Neither"
"128","Control","High","Till","Glomeraceae","Glomus","VTX00322",0.00114600045840018,0,TRUE,FALSE,"Metabarcoding_only"
"128","Control","High","Till","Glomeraceae","Glomus","VTX00323",0.00297960119184048,0,TRUE,FALSE,"Metabarcoding_only"
"128","Control","High","Till","Glomeraceae","Glomus","VTX00331",0.0357552143020857,0,TRUE,FALSE,"Metabarcoding_only"
"128","Control","High","Till","Glomeraceae","Glomus","VTX00332",0.0449232179692872,0,TRUE,FALSE,"Metabarcoding_only"
