Sample,AMF,Fert,Till,Family,Genus,Species,Metabarcoding,RNA_taxonomy,detected_metabar,detected_rna,detection_class
117,Control,No,Till,Acaulosporaceae,Acaulospora,VTX00379,0,0,FALSE,FALSE,Neither
117,Control,No,Till,Claroideoglomeraceae,Claroideoglomus,VTX00056,0,0,FALSE,FALSE,Neither
117,Control,No,Till,Claroideoglomeraceae,Claroideoglomus,VTX00057,0,0,FALSE,FALSE,Neither
117,Control,No,Till,Claroideoglomeraceae,Claroideoglomus,VTX00193,0,0,FALSE,FALSE,Neither
117,Control,No,Till,Claroideoglomeraceae,Claroideoglomus,VTX00237,0,0,FALSE,FALSE,Neither
117,Control,No,Till,Claroideoglomeraceae,Claroideoglomus,VTX00276,78,0,TRUE,FALSE,Metabarcoding_only
117,Control,No,Till,Claroideoglomeraceae,Claroideoglomus,VTX00341,0,0,FALSE,FALSE,Neither
117,Control,No,Till,Claroideoglomeraceae,Claroideoglomus,VTX00358,0,0,FALSE,FALSE,Neither
117,Control,No,Till,Claroideoglomeraceae,Claroideoglomus,VTX00402,0,0,FALSE,FALSE,Neither
117,Control,No,Till,Diversisporaceae,Diversispora,VTX00058,56,0,TRUE,FALSE,Metabarcoding_only
117,Control,No,Till,Diversisporaceae,Diversispora,VTX00062,0,0,FALSE,FALSE,Neither
117,Control,No,Till,Diversisporaceae,Diversispora,VTX00263,0,0,FALSE,FALSE,Neither
117,Control,No,Till,Diversisporaceae,Diversispora,VTX00306,13,0,TRUE,FALSE,Metabarcoding_only
117,Control,No,Till,Diversisporaceae,Diversispora,VTX00356,0,0,FALSE,FALSE,Neither
117,Control,No,Till,Diversisporaceae,Diversispora,VTX00401,0,0,FALSE,FALSE,Neither
117,Control,No,Till,Gigasporaceae,Scutellospora,VTX00052,3,0,TRUE,FALSE,Metabarcoding_only
117,Control,No,Till,Gigasporaceae,Scutellospora,VTX00255,1,0,TRUE,FALSE,Metabarcoding_only
117,Control,No,Till,Gigasporaceae,Scutellospora,VTX00260,0,0,FALSE,FALSE,Neither
117,Control,No,Till,Glomeraceae,Glomus,VTX00063,156,0,TRUE,FALSE,Metabarcoding_only
117,Control,No,Till,Glomeraceae,Glomus,VTX00064,30,0,TRUE,FALSE,Metabarcoding_only
117,Control,No,Till,Glomeraceae,Glomus,VTX00077,14,0,TRUE,FALSE,Metabarcoding_only
117,Control,No,Till,Glomeraceae,Glomus,VTX00085,0,0,FALSE,FALSE,Neither
117,Control,No,Till,Glomeraceae,Glomus,VTX00089,0,0,FALSE,FALSE,Neither
117,Control,No,Till,Glomeraceae,Glomus,VTX00092,0,0,FALSE,FALSE,Neither
117,Control,No,Till,Glomeraceae,Glomus,VTX00099,0,0,FALSE,FALSE,Neither
117,Control,No,Till,Glomeraceae,Glomus,VTX00100,0,0,FALSE,FALSE,Neither
117,Control,No,Till,Glomeraceae,Glomus,VTX00101,0,0,FALSE,FALSE,Neither
117,Control,No,Till,Glomeraceae,Glomus,VTX00104,0,0,FALSE,FALSE,Neither
117,Control,No,Till,Glomeraceae,Glomus,VTX00108,7,0,TRUE,FALSE,Metabarcoding_only
117,Control,No,Till,Glomeraceae,Glomus,VTX00109,22,0,TRUE,FALSE,Metabarcoding_only
117,Control,No,Till,Glomeraceae,Glomus,VTX00111,0,0,FALSE,FALSE,Neither
117,Control,No,Till,Glomeraceae,Glomus,VTX00112,0,0,FALSE,FALSE,Neither
117,Control,No,Till,Glomeraceae,Glomus,VTX00113,0,0,FALSE,FALSE,Neither
117,Control,No,Till,Glomeraceae,Glomus,VTX00114,180,0,TRUE,FALSE,Metabarcoding_only
117,Control,No,Till,Glomeraceae,Glomus,VTX00121,1,0,TRUE,FALSE,Metabarcoding_only
117,Control,No,Till,Glomeraceae,Glomus,VTX00122,0,0,FALSE,FALSE,Neither
117,Control,No,Till,Glomeraceae,Glomus,VTX00124,0,0,FALSE,FALSE,Neither
117,Control,No,Till,Glomeraceae,Glomus,VTX00130,458,0,TRUE,FALSE,Metabarcoding_only
117,Control,No,Till,Glomeraceae,Glomus,VTX00132,4,0,TRUE,FALSE,Metabarcoding_only
117,Control,No,Till,Glomeraceae,Glomus,VTX00135,0,0,FALSE,FALSE,Neither
117,Control,No,Till,Glomeraceae,Glomus,VTX00137,0,0,FALSE,FALSE,Neither
117,Control,No,Till,Glomeraceae,Glomus,VTX00143,0,0,FALSE,FALSE,Neither
117,Control,No,Till,Glomeraceae,Glomus,VTX00146,0,0,FALSE,FALSE,Neither
117,Control,No,Till,Glomeraceae,Glomus,VTX00149,0,0,FALSE,FALSE,Neither
117,Control,No,Till,Glomeraceae,Glomus,VTX00151,2,0,TRUE,FALSE,Metabarcoding_only
117,Control,No,Till,Glomeraceae,Glomus,VTX00154,0,0,FALSE,FALSE,Neither
117,Control,No,Till,Glomeraceae,Glomus,VTX00155,0,0,FALSE,FALSE,Neither
117,Control,No,Till,Glomeraceae,Glomus,VTX00156,287,0,TRUE,FALSE,Metabarcoding_only
117,Control,No,Till,Glomeraceae,Glomus,VTX00167,1,0,TRUE,FALSE,Metabarcoding_only
117,Control,No,Till,Glomeraceae,Glomus,VTX00174,0,0,FALSE,FALSE,Neither
117,Control,No,Till,Glomeraceae,Glomus,VTX00175,0,0,FALSE,FALSE,Neither
117,Control,No,Till,Glomeraceae,Glomus,VTX00177,0,0,FALSE,FALSE,Neither
117,Control,No,Till,Glomeraceae,Glomus,VTX00178,0,0,FALSE,FALSE,Neither
117,Control,No,Till,Glomeraceae,Glomus,VTX00183,0,0,FALSE,FALSE,Neither
117,Control,No,Till,Glomeraceae,Glomus,VTX00191,0,0,FALSE,FALSE,Neither
